Date,y_real,VaR_95,ES_95,VaR_99,ES_99,violation_95,violation_99
2022-11-30,0.0304786373593799,-0.0250001008626768,-0.0441957020347012,-0.0479748417652741,-0.0660723379945619,0,0
2022-12-01,-0.0008680002489885,-0.0259082171889139,-0.0458980334231796,-0.0489907765570241,-0.0779187256742541,0,0
2022-12-02,-0.0011953704332681,-0.0250654117123657,-0.0388533015628376,-0.0479897612977373,-0.0656084735625572,0,0
2022-12-05,-0.0180562585948237,-0.0246896133950701,-0.0420628540865035,-0.0471301375109898,-0.0774147482600106,0,0
2022-12-06,-0.0145038749290004,-0.0259553854855141,-0.0394679885390304,-0.0494377783743352,-0.0837889843979853,0,0
2022-12-07,-0.0018641103362005,-0.0261219588070076,-0.0432056282264146,-0.0496443075200551,-0.0757836803231206,0,0
2022-12-08,0.0074936375106618,-0.0254982594855988,-0.0397138658111838,-0.048782198381285,-0.0825898318336277,0,0
2022-12-09,-0.0073767126317892,-0.0231835372910264,-0.0381324008334789,-0.0444912531541724,-0.0669377023181508,0,0
2022-12-12,0.0141783133071588,-0.024975534966955,-0.0382840787349085,-0.0482850448091876,-0.0710524563421207,0,0
2022-12-13,0.0072632122963342,-0.0236199679371108,-0.0427603013065728,-0.0464746974206389,-0.0692828344002029,0,0
2022-12-14,-0.0060711081213409,-0.0231651372744202,-0.0387537244425788,-0.0443851348431792,-0.0604658446057623,0,0
2022-12-15,-0.0252374858212477,-0.0246964515492217,-0.0424952189474252,-0.0478947931201545,-0.0800831504688022,1,0
2022-12-16,-0.0112002418725903,-0.0262580703998531,-0.0435670479853421,-0.0497608914194351,-0.0907538964745654,0,0
2022-12-19,-0.0090483301864615,-0.0268667302300784,-0.0416282833607161,-0.0503954558816205,-0.077439940779454,0,0
2022-12-20,0.0010367993723891,-0.0268872113495043,-0.0464450855670009,-0.0502891360945543,-0.0696572420326312,0,0
2022-12-21,0.0147585424904856,-0.0247685581854798,-0.0405733828886662,-0.0474911371593726,-0.0712341099300059,0,0
2022-12-22,-0.0145571298804545,-0.0234400533722342,-0.0370281590709803,-0.0461626684335656,-0.0716945982977964,0,0
2022-12-23,0.0058509585596468,-0.0261739333073497,-0.0429642479580234,-0.0494124293349232,-0.0678529610207127,0,0
2022-12-27,-0.0040578522640756,-0.0204890802071369,-0.0333358921607911,-0.038814422934137,-0.0529849102162246,0,0
2022-12-28,-0.0120934626990492,-0.0206310679600117,-0.0319338039950362,-0.0397276242366031,-0.0779050005425142,0,0
2022-12-29,0.0173106189600936,-0.0239482266005991,-0.0376664095106471,-0.0455540875099836,-0.0770763868207214,0,0
2022-12-30,-0.0025439680351095,-0.0213224255797376,-0.0348234209914618,-0.0416081752310394,-0.0562795369368221,0,0
2023-01-03,-0.0040085705404776,-0.0203863782068306,-0.0335823730636294,-0.0389346859437404,-0.056115857588866,0,0
2023-01-04,0.0075107002250552,-0.0218819316745238,-0.0344331415990878,-0.0417290024408324,-0.0836528116662781,0,0
2023-01-05,-0.0117138761247048,-0.019947710088861,-0.0344002311015116,-0.037751210625631,-0.0487839989656651,0,0
2023-01-06,0.0225838405896255,-0.0229539847689298,-0.037302284760382,-0.0445448877399493,-0.0640278772869051,0,0
2023-01-09,-0.0007679298307715,-0.022388648364035,-0.0351202665196356,-0.0425867332688776,-0.0592729623947785,0,0
2023-01-10,0.0069539948593155,-0.0196475863082807,-0.0319969042048324,-0.0376772789600674,-0.0529798131670339,0,0
2023-01-11,0.0127675693226202,-0.0196314492601189,-0.0311000768886341,-0.0375617264161846,-0.0513251044323435,0,0
2023-01-12,0.0034100812898591,-0.0202707191843274,-0.03454355287983,-0.0401329469766613,-0.0589910013277991,0,0
2023-01-13,0.0039889006645458,-0.021598113889905,-0.0365952048947955,-0.0394803959560766,-0.0647020339151604,0,0
2023-01-17,-0.0020325511182382,-0.0195140153113464,-0.0340051762384646,-0.0370751086418248,-0.0493957860169817,0,0
2023-01-18,-0.0156849762076009,-0.0190015568753539,-0.0301815339744762,-0.0364332304659748,-0.0544381792912041,0,0
2023-01-19,-0.0076676694116078,-0.0225563008085527,-0.0384591572803594,-0.0443523700056167,-0.0665373773517313,0,0
2023-01-20,0.0187416710829515,-0.0232648758170398,-0.035709192891861,-0.0425130938768577,-0.0585208135082925,0,0
2023-01-23,0.0118113281201391,-0.0220811885338052,-0.036291069472442,-0.0415675342349257,-0.0643388285746662,0,0
