Date,y_real,mu_pred,sigma_pred,VaR_95,ES_95,VaR_99,ES_99,violation_95,violation_99
2024-11-18,0.0039101597576321,-0.0014370019676982,0.0071571768559763,-0.0176137533058286,-0.0274829790045655,-0.0314686843289144,-0.045441733320316,0,0
2024-11-19,0.003955756737767,0.0011221590184176,0.0067996105402283,-0.0145393307980739,-0.0242311457976862,-0.0284797911187054,-0.0376761546038347,0,0
2024-11-20,2.1953525975269803e-05,0.0009609540304988,0.0050353801907078,-0.0104059633756698,-0.0165117557843297,-0.0201166002714965,-0.0261781355795167,0,0
2024-11-21,0.0053262522053172,-0.0001404973024428,0.00747838860588,-0.0171306657652534,-0.0276155762946639,-0.0318369922121267,-0.0474474144936751,0,0
2024-11-22,0.0034619456958679,0.0017169436601439,0.0051317076675976,-0.0098634334304588,-0.0166985261071831,-0.0197494191145492,-0.0277018305009759,0,0
2024-11-25,0.0030159322786172,0.0011183306878932,0.0056673605055608,-0.0116579803057798,-0.0184793591537914,-0.0225424025757126,-0.0318286681262109,0,0
2024-11-26,0.0057057028801834,0.0016491662684262,0.0054739258043378,-0.0107050693882865,-0.0174401444625682,-0.0212544922351258,-0.0305788266513533,0,0
2024-11-27,-0.0038084896682411,0.0022589956489583,0.0056109165514726,-0.0103963299874687,-0.01673343293192,-0.0211886649116434,-0.0338747076327214,0,0
2024-11-29,0.0055921289763786,0.0023351872197259,0.0086384928787064,-0.0172828392466246,-0.0340238927191578,-0.0342499964786172,-0.0529018012684812,0,0
2024-12-02,0.0024454606437951,0.0015844459083703,0.0054069800665508,-0.0106230998873967,-0.0183661544512942,-0.0210549953818051,-0.031422897282005,0,0
2024-12-03,0.0004513504705666,0.0014951453519934,0.0053062974458234,-0.0104934667567227,-0.0181425030885987,-0.020753010978648,-0.0287256522386258,0,0
2024-12-04,0.0060331731394164,0.0018584521402774,0.0053600859306346,-0.0101313019828278,-0.0179536341489105,-0.0201825842055118,-0.0263820389594312,0,0
2024-12-05,-0.0018715141474988,0.0022451361678869,0.0044693162235877,-0.0077384825770035,-0.0139270926729624,-0.0160844003889998,-0.0235916243268999,0,0
2024-12-06,0.0024923361164493,0.0018291862122219,0.0055991999618186,-0.0107571455000114,-0.0165583695456281,-0.0214162503254448,-0.0285907495897949,0,0
2024-12-09,-0.0061631636910536,0.0013814810981375,0.0053952499869895,-0.0107537189858776,-0.0187733420375997,-0.0210435702868291,-0.0332534309304789,0,0
2024-12-10,-0.0029682774520069,0.0026929239283173,0.0066619107150257,-0.012212934636561,-0.0206559269699667,-0.0247159806496629,-0.0343510284376775,0,0
2024-12-11,0.0081326123563332,-0.0006096682594469,0.0061568483164231,-0.0143558616694408,-0.0250795775532114,-0.0258349310112756,-0.036017329511333,0,0
2024-12-12,-0.0054287246559148,0.0013824637203373,0.0050311706848201,-0.0098504922702047,-0.0154358543865361,-0.0192308711485392,-0.0263759389719494,0,0
2024-12-13,-2.647421947437086e-05,0.0025084528174879,0.0066950374616421,-0.012538604472801,-0.0229876056278181,-0.0252771311197078,-0.0355485583725743,0,0
2024-12-16,0.0037921658402554,0.0013243766833365,0.005767098856654,-0.0115634769644932,-0.0184103916518202,-0.0223462854995813,-0.0334458454577672,0,0
2024-12-17,-0.0038714770134207,0.0011730489394826,0.0061386283367554,-0.0127170804734728,-0.0199841378037143,-0.024640919920289,-0.0363344758967883,0,0
2024-12-18,-0.0299365039227115,0.0021605709216119,0.0062331975057129,-0.0118915174847218,-0.0225833517743889,-0.0238631063094588,-0.0301854030783585,1,1
