,date,Price,Return,sent_mean,sent_median,sent_std,news_count,frac_neg,frac_pos,frac_neu,sent_se
262,2018-01-18,2798.03,-0.0016177227424479,,,,,,,,
263,2018-01-19,2810.3,0.0043756410828246,,,,,,,,
264,2018-01-22,2832.97,0.0080343920983147,,,,,,,,
265,2018-01-23,2839.1299,0.0021720006806138,0.12977815,0.12977815,0.0,1.0,0.0,0.0,1.0,0.0
266,2018-01-24,2837.54,-0.000560152367349,,,,,,,,
267,2018-01-25,2839.25,0.0006024531651585,0.0062859654,0.0062859654,0.0,1.0,0.0,0.0,1.0,0.0
268,2018-01-26,2872.8701,0.0117716321233911,,,,,,,,
269,2018-01-29,2853.53,-0.0067547405690586,,,,,,,,
270,2018-01-30,2822.4299,-0.0109586437488684,-0.013792971,-0.013792971,0.0,1.0,0.0,0.0,1.0,0.0
271,2018-01-31,2823.8101,0.0004888917323707,-0.08855508,-0.08855508,0.043652315,2.0,0.0,0.0,1.0,0.0308668477337225
272,2018-02-01,2821.98,-0.0006483060941636,-0.12642623,-0.14264522,0.13804516,3.0,0.0,0.0,1.0,0.0797004114193801
273,2018-02-02,2762.1299,-0.0214366812152613,,,,,,,,
274,2018-02-05,2648.9399,-0.0418425627921876,0.015211876,0.022667944,0.1714417,3.0,0.0,0.0,1.0,0.0989819139748229
275,2018-02-06,2695.1399,0.0172905917339896,,,,,,,,
276,2018-02-07,2681.6599,-0.0050141454931788,-0.29655227,-0.29655227,0.4120416,2.0,0.5,0.0,0.5,0.2913574126862929
277,2018-02-08,2581.0,-0.038259047730175,0.17989542,0.17989542,0.16306175,2.0,0.0,0.0,1.0,0.1153020712386321
278,2018-02-09,2619.55,0.0148256265596341,,,,,,,,
279,2018-02-12,2656.0,0.0138186843180763,-0.42299435,-0.42299435,0.0,1.0,0.0,0.0,1.0,0.0
280,2018-02-13,2662.9399,0.0026095064312034,,,,,,,,
281,2018-02-14,2698.6299,0.0133134617269436,,,,,,,,
282,2018-02-15,2731.2,0.0119968732857044,-0.13506961,-0.13506961,0.0,1.0,0.0,0.0,1.0,0.0
283,2018-02-16,2732.22,0.0003733924947562,,,,,,,,
284,2018-02-20,2716.26,-0.0058585314248203,-0.45761105,-0.45761105,0.47045946,2.0,0.5,0.0,0.5,0.3326650752964866
285,2018-02-21,2701.3301,-0.0055116527902015,,,,,,,,
286,2018-02-22,2703.96,0.0009730838341199,-0.06044667,-0.06044667,0.0,1.0,0.0,0.0,1.0,0.0
287,2018-02-23,2747.3,0.0159012460255847,,,,,,,,
288,2018-02-26,2779.6001,0.0116884572369559,,,,,,,,
289,2018-02-27,2744.28,-0.0127883229602787,-0.09975458,-0.09975458,0.0,1.0,0.0,0.0,1.0,0.0
290,2018-02-28,2713.8301,-0.0111577873474782,,,,,,,,
291,2018-03-01,2677.6699,-0.0134139820848563,0.037397757,0.037397757,0.0,1.0,0.0,0.0,1.0,0.0
292,2018-03-02,2691.25,0.0050587936546149,,,,,,,,
293,2018-03-05,2720.9399,0.010971602392899,0.021455713,0.021455713,0.21818574,2.0,0.0,0.0,1.0,0.1542806147064167
294,2018-03-06,2728.1201,0.0026353918494984,,,,,,,,
295,2018-03-07,2726.8,-0.00048400343234,-0.62268835,-0.62268835,0.2647087,2.0,0.5,0.0,0.5,0.1871773152505187
296,2018-03-08,2738.97,0.0044531768119452,,,,,,,,
297,2018-03-09,2786.5701,0.0172295473995813,,,,,,,,
298,2018-03-12,2783.02,-0.0012748157106888,,,,,,,,
299,2018-03-13,2765.3101,-0.0063838884228526,-0.018741226,-0.018741226,0.0,1.0,0.0,0.0,1.0,0.0
300,2018-03-14,2749.48,-0.0057409776950292,0.24673936,0.24673936,0.0,1.0,0.0,0.0,1.0,0.0
301,2018-03-15,2747.3301,-0.0007822355404366,,,,,,,,
302,2018-03-16,2752.01,0.0017019864364131,0.016824469,0.016824469,0.5472916,2.0,0.0,0.0,1.0,0.3869935852856357
303,2018-03-19,2712.9199,-0.0143060450560986,0.2593899,0.2593899,0.1280135,2.0,0.0,0.0,1.0,0.0905192185520443
304,2018-03-20,2716.9399,0.0014807014849554,,,,,,,,
305,2018-03-21,2711.9299,-0.0018456885527964,,,,,,,,
306,2018-03-22,2643.6899,-0.0254848909679503,,,,,,,,
307,2018-03-23,2588.26,-0.0211897954225024,,,,,,,,
308,2018-03-26,2658.55,0.0267950261126321,-0.9557609,-0.9557609,0.0,1.0,1.0,0.0,0.0,0.0
309,2018-03-27,2612.6201,-0.0174272738575172,0.26550773,0.30635968,0.18489897,4.0,0.0,0.0,1.0,0.0924494862556457
310,2018-03-28,2605.0,-0.0029209123208177,,,,,,,,
